W,CC1601RL,1/7/2016,7:38,1/7/2016 7:38,8:00:00,1/7/2016 15:38,32 38.15,117 17.77,32.63583333,-117.2961667,KW,JT,UX,1.5,LR,100,0,0,0,268,26,6,8,,,,10,,,,,,,,,,,,,,,,,On,,Off,1,,,,,,,,,,,,,"Left port SD, going to station 93/26.7. Observers inside bridge due to rain."
W,CC1601RL,1/7/2016,8:33,1/7/2016 8:33,8:00:00,1/7/2016 16:33,32 45.72,117 19.87,32.762,-117.3311667,KW,JT,UX,5,PC,80,0,0,0,280,26,6,8,,,,10,,,,,,,,,,,,,,,,,On,,Off,1,,,,,,,,,,,,,Observers on flying bridge.
W,CC1601RL,1/7/2016,9:04,1/7/2016 9:04,8:00:00,1/7/2016 17:04,32 51.14,117 19.13,32.85233333,-117.3188333,KW,JT,P,5,PC,80,0,0,0,280,20,5,6,1,JT,2,10,80,,804,,,,,,1,1,1,0,ULW,,,,On,,Off,1,,,,,,,,,,,,,
W,CC1601RL,1/7/2016,9:29,1/7/2016 9:29,8:00:00,1/7/2016 17:29,32 55.46,117 18.50,32.92433333,-117.3083333,KW,,P,5,PC,80,0,0,0,280,18,4,6,,,,10,,,,,,,,,,,,,,,,,Off,6,Off,1,,,,,,,,,,,,,One observer on. Sonobuoy deployment.
W,CC1601RL,1/7/2016,13:30,1/7/2016 13:30,8:00:00,1/7/2016 21:30,32 58.11,117 18.44,32.9685,-117.3073333,KW,JT,P,6,PC,70,0,0,0,290,16,4,6,2,KW,2,325,360,,400,,,,,,1,1,1,0,ER,,,,On,,Off,1,1,,,,,,,,,,,,"Leaving SCCOOS 93/26.4, going to SCCOOS 91.7/26.4. Winch repair created delay."
W,CC1601RL,1/7/2016,13:51,1/7/2016 13:51,8:00:00,1/7/2016 21:51,33 00.43,117 19.83,33.00716667,-117.3305,KW,JT,P,6,PC,70,0,0,0,290,16,4,6,3,JT,2,330,340,4,,,,,,,1,1,1,0,ER,,,,On,,Off,1,1,,,,,,,,,,,,
W,CC1601RL,1/7/2016,14:01,1/7/2016 14:01,8:00:00,1/7/2016 22:01,33 01.19,117 20.59,33.01983333,-117.3431667,KW,JT,P,6,PC,70,0,0,0,290,16,4,6,4,JT,2,330,355,3,,,,,,,1,1,1,0,ER,,,,On,,Off,1,1,,,,,,,,,,,,
W,CC1601RL,1/7/2016,14:15,1/7/2016 14:15,8:00:00,1/7/2016 22:15,33 03.88,117 21.76,33.06466667,-117.3626667,KW,JT,P,6,PC,70,0,0,0,290,16,4,6,5,JT,3,330,335,,3,,,,,,1,1,1,0,UD,,,,On,,Off,1,5,,,,,,,,,,,,Possibly Tursiops
W,CC1601RL,1/7/2016,14:21,1/7/2016 14:21,8:00:00,1/7/2016 22:21,33 04.64,117 22.16,33.07733333,-117.3693333,KW,JT,P,5,PC,85,0,0,0,290,16,4,5,6,KW,2,330,330,0.2,,,,,,,1,1,1,0,ER,,,,On,,Off,1,1,,,,,,,,,,,,
W,CC1601RL,1/7/2016,14:24,1/7/2016 14:24,8:00:00,1/7/2016 22:24,33 05.19,117 22.45,33.0865,-117.3741667,KW,JT,P,5,PC,85,0,0,0,290,16,4,5,7,KW,2,330,315,0.3,,,,,,,5,5,6,ND,ER,,,,On,,Off,1,1,34,,,,,,,,,,,
W,CC1601RL,1/7/2016,14:30,1/7/2016 14:30,8:00:00,1/7/2016 22:30,33 07.31,117 23.55,33.12183333,-117.3925,KW,JT,P,5,PC,85,0,0,0,290,16,4,5,8,JT,2,330,340,3,,,,,,,1,1,1,0,ER,,,,On,,Off,1,1,,,,,,,,,,,,
W,CC1601RL,1/7/2016,14:45,1/7/2016 14:45,8:00:00,1/7/2016 22:45,33 08.40,117 24.12,33.14,-117.402,KW,JT,P,5,PC,85,0,0,0,290,16,4,5,9,KW,2,330,265,0.75,,,,,,,1,1,1,0,ER,,,,On,,Off,1,1,,,,,,,,,,,,
