W,CalCOFI1210NH,10/19/2012,11:09,41201.46,8:00,10/19/12 19:09,,,32.69567,-117.22517,KW,AB,G,6,OV,98,0,0,,247,3,1,3,1,AB,3,170,,,,,,,,,,,,,,,,,ON,,OFF,7,,,,,,,,,,,,,Begin cruise.  Transiting to 1st station (93-26.7).  No array. 
W,CalCOFI1210NH,10/19/2012,11:36,41201.48,8:00,10/19/12 19:36,,,32.63483,-117.24683,KW,AB,F,6,OV,98,0,0,,300,12,4,3,,,,307,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,Transiting to 93-26.7
W,CalCOFI1210NH,10/19/2012,11:45,41201.49,8:00,10/19/12 19:45,,,32.64717,-117.27300,KW,AB,F,6,OV,98,0,0,,300,12,4,3,2,KW,1,307,256,0.6,,,,,,,30,22,48,ND,UD,,,,ON,,OFF,1,2,1,,,,,,,,,,,Small DSP-like
W,CalCOFI1210NH,10/19/2012,13:20,41201.56,8:00,10/19/12 21:20,,,32.88946,-117.32872,KW,AB,G,6,OV,100,0,0,,310,8,3,3,,,,6,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,
W,CalCOFI1210NH,10/19/2012,13:27,41201.56,8:00,10/19/12 21:27,,,32.90847,-117.32317,KW,AB,G,6,OV,100,0,0,,310,8,3,3,3,AB,2,24,246,0.3,,,,,,,3,3,4,0,ULW,,,,ON,,OFF,1,4,,,,,,,,,,,,"At least one Bm (lunge feeding), others either Bp or Mn.  Birds feeding overhead."
W,CalCOFI1210NH,10/19/2012,13:46,41201.57,8:00,10/19/12 21:46,,,32.95668,-117.30432,KW,MB,G,1,CL,4,185,220,SE,310,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,CalCOFI1210NH,10/19/2012,15:48,41201.66,8:00,10/19/12 23:48,,,32.96345,-117.32720,KW,AB,F,5,OV,100,0,0,,286,6,2,2,4,KW,1,104,45,0.65,,,,,,,63,55,75,ND,Dc,,,,ON,,OFF,1,1,8,,,,,,,,,,,Transiting from station 93-26.7 to SCOOS station 93-26.4
W,CalCOFI1210NH,10/19/2012,15:59,41201.67,8:00,10/19/12 23:59,,,32.95686,-117.29574,KW,AB,F,5,OV,100,0,0,,286,6,2,2,5,AB,1,105,146,0.5,,,,,,,28,24,36,ND,DSP,,,,ON,,OFF,1,2,8,,,,,,,,,,,
W,CalCOFI1210NH,10/20/2012,9:19,41202.39,8:00,10/20/12 17:19,,,32.66972,-117.87431,KW,KW,F,3,MI,100,0,0,,254,7,3,3,,,,245,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,"Begin day.  On station 93-35, going to station 93-40.  One observer on--deploying array."
W,CalCOFI1210NH,10/20/2012,9:36,41202.40,8:00,10/20/12 17:36,,,32.65156,-117.90853,KW,AB,F,2,MI,100,0,0,,254,7,3,3,,,,245,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Observer back on.
W,CalCOFI1210NH,10/20/2012,9:57,41202.41,8:00,10/20/12 17:57,,,32.62359,-117.96705,KW,AB,P,2,LR,100,0,0,,254,8,3,3,,,,245,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Observers move inside wheelhouse due to light rain.
W,CalCOFI1210NH,10/20/2012,10:57,41202.46,8:00,10/20/12 18:57,,,32.54967,-118.12938,KW,KW,F,5,MI,90,0,0,,235,8,3,3,,,,246,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,One observer off--retrieve array.  One observer back outside.
