W,CalCOFI1411NH,11/8/2014,8:50,11/8/2014 8:50,8:00:00,11/8/2014 16:50,,,32.64417,-117.23117,KW,AS,G,7,CL,0,0,0,0,260,4,2,2,,,,260,,,,,,,,,,,,,,,,,On,,Off,1,,,,,,,,,,,,,"Begin cruise, leave port San Diego, going to Station 26.7 Line 93.3, Non-Standard Coastal Transect, No array"
W,CalCOFI1411NH,11/8/2014,9:04,11/8/2014 9:04,8:00:00,11/8/2014 17:04,,,32.62900,-117.24117,KW,AS,G,7,CL,0,0,0,0,25,4,2,2,,,,260,,,,,,,,,,,,,,,,,Off,7,Off,1,,,,,,,,,,,,,Off-effort for Safety Drills
W,CalCOFI1411NH,11/8/2014,10:01,11/8/2014 10:01,8:00:00,11/8/2014 18:01,,,32.74450,-117.31867,KW,RG,G,7,CL,0,0,0,0,25,4,2,2,,,,345,,,,,,,,,,,,,,,,,On,,Off,1,,,,,,,,,,,,,"Back on effort, transiting to 93 26.4, No array"
W,CalCOFI1411NH,11/8/2014,10:26,11/8/2014 10:26,8:00:00,11/8/2014 18:26,,,32.81183,-117.33667,KW,RG,G,7,CL,0,0,0,0,25,4,2,2,1,KW,1,352,309,0.4,,,,,,,26,22,30,ND,Dsp,,,,On,,Off,1,8,2,,,,,,,,,,,
W,CalCOFI1411NH,11/8/2014,10:45,11/8/2014 10:45,8:00:00,11/8/2014 18:45,,,32.86183,-117.34533,KW,RG,G,7,CL,0,0,0,0,25,4,2,2,,,,30,,,,,,,,,,,,,,,,,On,,Off,1,,,,,,,,,,,,,Change course
W,CalCOFI1411NH,11/8/2014,11:20,11/8/2014 11:20,8:00:00,11/8/2014 19:20,,,32.94150,-117.28767,KW,RG,G,7,CL,0,0,0,0,25,4,2,2,2,KW,3,30,30,,800,,,,,,4,3,7,1,Lo,,,,On,,Off,1,1,,,,,,,,,,,,
W,CalCOFI1411NH,11/8/2014,11:25,11/8/2014 11:25,8:00:00,11/8/2014 19:25,,,32.95417,-117.28050,KW,AS,G,7,CL,0,0,0,0,25,4,2,2,P1,,,352,,,,,,,,,6,6,6,0,ZaCa,,,,On,,Off,1,,,,,,,,,,,,,Cumalative Zaca Count Nearshore within 50 miles of Land
W,CalCOFI1411NH,11/8/2014,15:02,11/8/2014 15:02,8:00:00,11/8/2014 23:02,,,32.95933,-117.30017,KW,AS,G,7,CL,0,230,250,SE,260,4,2,3,,,,290,,,,,,,,,,,,,,,,,On,,Off,1,,,,,,,,,,,,,"Leaving line 93 SCOOS 26.4, going to line 91.7 SCOOS 26.4, No array"
W,CalCOFI1411NH,11/8/2014,15:34,11/8/2014 15:34,8:00:00,11/8/2014 23:34,,,33.02200,-117.35750,KW,AS,G,7,CL,0,230,260,SE,260,4,2,3,3,KW,3,340,345,0.2,,,,,,,140,130,164,15,Dc,,,,On,,Off,1,2,8,5,,,,,,,,,,
W,CalCOFI1411NH,11/8/2014,16:22,11/8/2014 16:22,8:00:00,11/9/2014 0:22,,,33.14067,-117.41750,KW,AS,G,7,CL,0,230,260,SE,260,4,2,3,4,AS,1,340,348,0.4,,,,,,,23,18,30,ND,Dsp,,,,On,,Off,1,2,,,,,,,,,,,,
