SB,CalCOFI0903JD,3/7/2009,,3/7/2009 16:22,8:00:00,3/8/2009 0:22,,,32.77866667,-117.311,AMH,DLC,G,7,CL,10,216,243,SE,,,2,2,1,AMH,2,,273,0.6,,,,,,,1,,,0,ULW,,,,ON,,OFF,,0,,,,,,,,,,,,"LOW BUSHY BLOW, NO BODY SEEN. "
SE,CalCOFI0903JD,3/7/2009,,3/7/2009 16:22,8:00:00,3/8/2009 0:22,,,32.77866667,-117.311,AMH,DLC,G,7,CL,10,216,243,SE,,,2,2,1,AMH,2,,273,0.6,,,,,,,1,,,0,ULW,,,,ON,,OFF,,0,,,,,,,,,,,,"LOW BUSHY BLOW, NO BODY SEEN. "
SB,CalCOFI0903JD,3/7/2009,,3/7/2009 16:28,8:00:00,3/8/2009 0:28,,,32.79316667,-117.3145,AMH,DLC,G,7,CL,10,216,243,SE,,,2,2,2,DLC,2,,62,,500,,,,,,1,,,0,ULW,,,,ON,,OFF,,9,,,,,,,,,,,,PROBABLE ER.
SE,CalCOFI0903JD,3/7/2009,,3/7/2009 16:30,8:00:00,3/8/2009 0:30,,,32.79933333,-117.3151667,AMH,DLC,G,7,CL,10,216,243,SE,,,2,2,2,DLC,2,,100,,500,,,,,,1,,,0,ULW,,,,ON,,OFF,,9,,,,,,,,,,,,
SB,CalCOFI0903JD,3/7/2009,,3/7/2009 16:54,8:00:00,3/8/2009 0:54,,,32.8585,-117.3136667,AMH,DLC,G,7,CL,10,216,243,SE,,,2,2,3,AMH,4,,332,,175,,,,,,2,,,0,UD,,,,ON,,OFF,,1,,,,,,,,,,,,LO? PART OF A LARGER HIDDEN GROUP?
SE,CalCOFI0903JD,3/7/2009,,3/7/2009 16:54,8:00:00,3/8/2009 0:54,,,32.8585,-117.3136667,AMH,DLC,G,7,CL,10,216,243,SE,,,2,2,3,AMH,4,,332,,175,,,,,,2,,,0,UD,,,,ON,,OFF,,1,,,,,,,,,,,,LO? PART OF A LARGER HIDDEN GROUP?
SH,CalCOFI0903JD,3/8/2009,,3/8/2009 6:58,8:00:00,3/8/2009 14:58,,,32.789,-117.6825,DLC,AMH,G,7,PC,75,0,0,N,,,1,1,SH1,AMH,,,231,0.1,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
SB,CalCOFI0903JD,3/8/2009,,3/8/2009 7:12,8:00:00,3/8/2009 15:12,,,32.7645,-117.723,DLC,AMH,G,7,PC,75,0,0,N,,,1,1,4,DLC,5,,271,3,,,,,,,10,9,13,0,DD,,,,ON,,ON,,9,,,,,,,,,,,,NOT SHIP ATTRACTED
SE,CalCOFI0903JD,3/8/2009,,3/8/2009 7:14,8:00:00,3/8/2009 15:14,,,32.76116667,-117.7273333,DLC,AMH,G,7,PC,75,0,0,N,,,1,1,4,DLC,5,,329,5,,,,,,,10,9,13,0,DD,,,,ON,,ON,,9,,,,,,,,,,,,
SB,CalCOFI0903JD,3/8/2009,,3/8/2009 7:17,8:00:00,3/8/2009 15:17,,,32.75666667,-117.7325,DLC,AMH,G,7,PC,75,0,0,N,,,1,1,5,DLC,6,,257,2,,,,,,,120,95,145,ND,DC,,,,ON,,ON,,4,,,,,,,,,,,,"APPROACHED VESSEL, GULLS AND BROWN PELICANS ASSOCIATED, BIRDS ARE ALSO FEEDING. SIGHTING CUE=BIRDS"
