SB,CalCOFI0801DSJ,1/7/2008,13:39,1/7/2008 13:39,8:00:00,1/7/2008 21:39,,,32.95017,-117.29683,DLC,GC,,,,,,,,,,,,1,GC,,86,102,,275,,,,,,5,3,7,0,Lo,,,,Off,,On,,2,,,,,,,,,,,,Associated with pinn S#1. Possible feeding
SB,CalCOFI0801DSJ,1/8/2008,8:55,1/8/2008 8:55,8:00:00,1/8/2008 16:55,,,32.63617,-117.93217,DLC,DLC,,,,,,,,,,,,2,DLC,,243,281,1.6,,,,,,,15,9,20,0,Dsp,,,,Off,,On,,1,,,,,,,,,,,,with birds
SB,CalCOFI0801DSJ,1/8/2008,9:02,1/8/2008 9:02,8:00:00,1/8/2008 17:02,,,32.62883,-117.95050,DLC,DLC,,,,,,,,,,,,3,DLC,,243,273,1.7,,,,,,,5,3,6,0,Lo,,,,Off,,On,,1,,,,,,,,,,,,with birds. Associated with Pinn S#2 and S#2.
SP,CalCOFI0801DSJ,1/8/2008,9:02,1/8/2008 9:02,8:00:00,1/8/2008 17:02,,,32.62883,-117.95050,DLC,DLC,,,,,,,,,,,,2,DLC,,243,273,1.7,,,,,,,15,9,20,0,Dd,,,,Off,,On,,1,,,,,,,,,,,,"w/birds, confirmed sighting w/ big eyes. Pinn S#2 and S#3 associated"
SB,CalCOFI0801DSJ,1/8/2008,9:44,1/8/2008 9:44,8:00:00,1/8/2008 17:44,,,32.58417,-118.05900,DLC,GC,,,,,,,,,,,,4,GC,,243,313,,100,,,,,,13,10,15,0,Dd,,,,On,,On,,2,,,,,,,,,,,,subgroup of larger group coming in
SB,CalCOFI0801DSJ,1/8/2008,9:45,1/8/2008 9:45,8:00:00,1/8/2008 17:45,,,32.58317,-118.06167,DLC,GC,,,,,,,,,,,,5,DLC,,243,227,6.5,,,,,,,50,40,60,ND,Dd,,,,On,,On,,1,,,,,,,,,,,,S#4 a subgroup of these animals.
SP,CalCOFI0801DSJ,1/8/2008,9:48,1/8/2008 9:48,8:00:00,1/8/2008 17:48,,,32.58017,-118.06833,DLC,GC,,,,,,,,,,,,5,DLC,,243,212,,20,,,,,,50,40,60,ND,Dd,,,,On,,On,,1,5,,,,,,,,,,,bow rode for a few minutes.
SB,CalCOFI0801DSJ,1/8/2008,13:22,1/8/2008 13:22,8:00:00,1/8/2008 21:22,,,32.48550,-118.29217,DLC,GC,,,,,,,,,,,,6,GC,,233,234,0.5,,,,,,,1,1,1,0,UNID_CETAC,,,,On,,On,,0,,,,,,,,,,,,"splashes, large columnar blow. BM/BP?"
SP,CalCOFI0801DSJ,1/8/2008,13:35,1/8/2008 13:35,8:00:00,1/8/2008 21:35,,,32.46650,-118.32467,DLC,GC,,,,,,,,,,,,6,DLC,,233,193,2,,,,,,,2,2,2,0,Bp,,,,On,,On,,1,,,,,,,,,,,,
SB,CalCOFI0801DSJ,1/8/2008,14:13,1/8/2008 14:13,8:00:00,1/8/2008 22:13,,,32.41333,-118.41767,DLC,GC,,,,,,,,,,,,7,GC,,233,223,0.3,,,,,,,1,1,1,0,UNID_CETAC,,,,On,,On,,0,,,,,,,,,,,,blow
SB,CalCOFI0801DSJ,1/8/2008,14:20,1/8/2008 14:20,8:00:00,1/8/2008 22:20,,,32.39500,-118.45433,DLC,GC,,,,,,,,,,,,8,UNK,,233,180,,120,,,,,,1,1,1,0,UNID_CETAC,,,,Off,,On,,0,,,,,,,,,,,,"single blow, not strong. Small dark whale back, maybe minke or beaked whale? Sighted by birder. **changed 2 May 2008 to on effort sighting--ABD**"
