SB,CalCOFI0501NH,1/4/2005,9:48,1/4/2005 9:48,8:00:00,1/4/2005 17:48,,,32.73467,-117.32567,DLC,EVM,G,10,OV,95,,,,,,2,2,1,EVM,,338,345,2.6,,,,,,,3,,,ND,Er,,,,OFF,,OFF,,1,,,,,,,,,,,,
SB,CalCOFI0501NH,1/4/2005,11:09,1/4/2005 11:09,8:00:00,1/4/2005 19:09,,,32.95550,-117.30633,EVM,DLC,,,,,,,,,,,,2,DLC,,284,302,0.6,,,,,,,3,,,ND,Unid_Cetac,,,,ON,,OFF,,9,,,,,,,,,,,,Bushy blows   Unid whale  Approaching station 93. 26.3
SB,CalCOFI0501NH,1/4/2005,13:15,1/4/2005 13:15,8:00:00,1/4/2005 21:15,,,32.94733,-117.27617,EVM,DLC,,,,,,,,,,,,3,DLC,,328,336,,100,,,,,,15,,,1,Lo,,,,ON,,OFF,,1,,,,,,,,,,,,"Travelling w/ 8 sealions, feeding flockoverhead"
SB,CalCOFI0501NH,1/4/2005,14:19,1/4/2005 14:19,8:00:00,1/4/2005 22:19,,,32.94500,-117.29567,DLC,EVM,,,,,,,,,,,,4,EVM,,248,299,2.4,,,,,,,5,,,0,Lo,,,,ON,,OFF,,1,,,,,,,,,,,,Feeding flock overhead 
SB,CalCOFI0501NH,1/5/2005,7:39,1/5/2005 7:39,8:00:00,1/5/2005 15:39,,,32.36550,-118.49633,DLC,EVM,,,,,,,,,,,,5,DLC,,239,194,2.8,,,,,,,15,,,ND,Dd,,,,ON,,ON,,1,5,,,,,,,,,,,
SB,CalCOFI0501NH,1/6/2005,7:08,1/6/2005 7:08,8:00:00,1/6/2005 15:08,,,31.29000,-120.69650,EVM,DLC,,,,,,,,,,,,6,DLC,,242,271,2.8,,,,,,,4,,,0,Dsp,,,,ON,,ON,,1,,,,,,,,,,,,
SB,CalCOFI0501NH,1/6/2005,7:16,1/6/2005 7:16,8:00:00,1/6/2005 15:16,,,31.27933,-120.71867,EVM,DLC,,,,,,,,,,,,7,DLC,,242,299,5.4,,,,,,,20,15,25,1,Dd,,,,ON,,ON,,1,5,,,,,,,,,,,"Loose aggregation, Temp=15.2 degrees ,H-25, L-15, B-20"
SB,CalCOFI0501NH,1/6/2005,7:31,1/6/2005 7:31,8:00:00,1/6/2005 15:31,,,31.25850,-120.76083,EVM,DLC,,,,,,,,,,,,8,EVM,,242,217,1,,,,,,,10,9,15,1,Dsp,,,,ON,,ON,,1,,,,,,,,,,,,H-15 L-8 B-10
SB,CalCOFI0501NH,1/6/2005,7:45,1/6/2005 7:45,8:00:00,1/6/2005 15:45,,,31.23850,-120.80200,EVM,DLC,,,,,,,,,,,,9,EVM,,242,194,0.8,,,,,,,10,,,ND,Dsp,,,,ON,,ON,,1,,,,,,,,,,,,"Very surface active, possibly feeding "
SB,CalCOFI0501NH,1/6/2005,7:51,1/6/2005 7:51,8:00:00,1/6/2005 15:51,,,31.23050,-120.81850,EVM,DLC,,,,,,,,,,,,10,EVM,,242,221,0.6,,,,,,,5,,,ND,Dsp,,,,ON,,ON,,1,,,,,,,,,,,,
SB,CalCOFI0501NH,1/6/2005,12:02,1/6/2005 12:02,8:00:00,1/6/2005 20:02,,,31.07117,-121.14967,EVM,DLC,,,,,,,,,,,,11,DLC,,240,296,1.4,,,,,,,1,,,0,Unid_Cetac,,,,ON,,ON,,,,,,,,,,,,,,2 low bushy blows unid whale
SB,CalCOFI0501NH,1/8/2005,11:57,1/8/2005 11:57,8:00:00,1/8/2005 19:57,,,31.18433,-122.41233,EVM,DLC,,,,,,,,,,,,12,EVM,,58,19,,10,,,,,,2,,,0,Dd,,,,ON,,ON,,1,5,,,,,,,,,,,
SB,CalCOFI0501NH,1/8/2005,12:13,1/8/2005 12:13,8:00:00,1/8/2005 20:13,,,31.20617,-122.36667,EVM,DLC,,,,,,,,,,,,13,EVM,,59,49,3.6,,,,,,,800,500,1000,25,Dd,,,,ON,,ON,,1,5,,,,,,,,,,,H-1000 L-500 B-800
