SB,CalCOFI0507NH,7/1/2005,13:34,38534.57,8:00:00,38534.90,,,33.08050,-117.36917,DLC,ABD,,,,,,,,,,,,1,ABD,,339,29,7,,,,,,,5,3,6,0,Dsp,,,,ON,,OFF,,4,9,,,,,,,,,,,Birds associated with group
SB,CalCOFI0507NH,7/1/2005,15:47,38534.66,8:00:00,38534.99,,,33.18583,-117.47500,ABD,VI,,,,,,,,,,,,2,VI,,172,185,3,,,,,,,500,300,800,ND,Lo,Dsp,10,90,ON,,OFF,,1,"9, 5",,,,,,,,,,,Dsp.possibly capensis.Approached boat. About 10% Lo.
SB,CalCOFI0507NH,7/1/2005,16:00,38534.67,8:00:00,38535.00,,,33.14083,-117.48100,ABD,VI,,,,,,,,,,,,3,ABD,,172,114,5,,,,,,,18,15,20,0,Dd,,,,ON,,OFF,,9,,,,,,,,,,,,
SB,CalCOFI0507NH,7/1/2005,16:03,38534.67,8:00:00,38535.00,,,33.13500,-117.48200,ABD,VI,,,,,,,,,,,,4,VI,,172,202,0.8,,,,,,,800,600,1000,1,Dd,,,,ON,,OFF,,1,8,,,,,,,,,,,
SB,CalCOFI0507NH,7/1/2005,16:10,38534.67,8:00:00,38535.01,,,33.10833,-117.48517,ABD,VI,,,,,,,,,,,,5,VI,,158,198,1,,,,,,,500,,,ND,Dd,,,,ON,,OFF,,1,"2, 9, 5",,,,,,,,,,,
SB,CalCOFI0507NH,7/1/2005,16:23,38534.68,8:00:00,38535.02,,,33.07600,-117.47000,ABD,VI,,,,,,,,,,,,6,VI,,159,191,0.8,,,,,,,15,,,ND,Dsp,,,,ON,,OFF,,2,,,,,,,,,,,,
SB,CalCOFI0507NH,7/1/2005,16:48,38534.70,8:00:00,38535.03,,,33.00667,-117.43850,DLC,VI,,,,,,,,,,,,7,VI,,146,171,0.8,,,,,,,10,8,12,0,Dd,Dc,90,10,ON,,OFF,,9,4,,,,,,,,,,,One clear capensis. Mixed group. Good sound recordings
SB,CalCOFI0507NH,7/1/2005,17:08,38534.71,8:00:00,38535.05,,,32.94750,-117.41000,ABD,VI,,,,,,,,,,,,8,VI,,140,200,0.8,,,,,,,6,5,8,ND,UD,,,,ON,,OFF,,0,,,,,,,,,,,,Unid dolphin
SB,CalCOFI0507NH,7/1/2005,17:43,38534.74,8:00:00,38535.07,,,32.94067,-117.40717,ABD,VI,,,,,,,,,,,,9,VI,,300,327,0.6,,,,,,,30,20,100,ND,UD,,,,OFF,,ON,,9,,,,,,,,,,,,"OFF EFFORT (*). Birds associated, unid dolphin"
SB,CalCOFI0507NH,7/1/2005,17:58,38534.75,8:00:00,38535.08,,,32.90683,-117.40133,ABD,VI,,,,,,,,,,,,10,ABD,,300,207,0.4,,,,,,,20,15,50,ND,UD,,,,OFF,,ON,,9,4?,,,,,,,,,,,"Birds associated, unid dolphin"
